	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
167	16.44	309.68	309.68	309.68	
168	16.54	309.67	309.67	309.67	
169	16.64	309.66	309.66	309.66	
170	16.74	309.65	309.65	309.65	
171	16.84	309.64	309.64	309.64	
172	16.94	309.64	309.64	309.64	
173	17.04	309.63	309.63	309.63	
174	17.14	309.62	309.62	309.62	
175	17.24	309.61	309.61	309.61	
176	17.34	309.6	309.6	309.6	
177	17.44	309.59	309.59	309.59	
178	17.54	309.58	309.58	309.58	
179	17.64	309.57	309.57	309.57	
180	17.74	309.57	309.57	309.57	
181	17.84	309.56	309.56	309.56	
182	17.94	309.55	309.55	309.55	
183	18.04	309.54	309.54	309.54	
184	18.14	309.53	309.53	309.53	
185	18.24	309.52	309.52	309.52	
186	18.34	309.51	309.51	309.51	
187	18.44	309.5	309.5	309.5	
188	18.54	309.49	309.49	309.49	
189	18.64	309.48	309.48	309.48	
190	18.74	309.47	309.47	309.47	
191	18.84	309.46	309.46	309.46	
192	18.94	309.45	309.45	309.45	
193	19.04	309.44	309.44	309.44	
194	19.14	309.43	309.43	309.43	
195	19.24	309.42	309.42	309.42	
196	19.34	309.41	309.41	309.41	
197	19.44	309.4	309.4	309.4	
198	19.54	309.39	309.39	309.39	
199	19.64	309.39	309.39	309.39	
200	19.74	309.38	309.38	309.38	
201	19.84	309.37	309.37	309.37	
202	19.94	309.35	309.35	309.35	
203	20.04	309.34	309.34	309.34	
204	20.14	309.33	309.33	309.33	
205	20.24	309.32	309.32	309.32	
206	20.34	309.31	309.31	309.31	
207	20.44	309.3	309.3	309.3	
208	20.54	309.29	309.29	309.29	
209	20.64	309.28	309.28	309.28	
210	20.74	309.27	309.27	309.27	
211	20.84	309.26	309.26	309.26	
212	20.94	309.25	309.25	309.25	
213	21.04	309.24	309.24	309.24	
214	21.14	309.23	309.23	309.23	
215	21.24	309.22	309.22	309.22	
216	21.34	309.21	309.21	309.21	
217	21.44	309.2	309.2	309.2	
218	21.54	309.19	309.19	309.19	
219	21.64	309.18	309.18	309.18	
220	21.74	309.17	309.17	309.17	
221	21.84	309.16	309.16	309.16	
222	21.94	309.15	309.15	309.15	
223	22.04	309.13	309.13	309.13	
224	22.14	309.12	309.12	309.12	
225	22.24	309.11	309.11	309.11	
226	22.34	309.1	309.1	309.1	
227	22.44	309.09	309.09	309.09	
228	22.54	309.08	309.08	309.08	
229	22.64	309.07	309.07	309.07	
230	22.74	309.06	309.06	309.06	
231	22.84	309.05	309.05	309.05	
232	22.94	309.04	309.04	309.04	
233	23.04	309.02	309.02	309.02	
234	23.14	309.01	309.01	309.01	
235	23.24	309.	309.	309.	
236	23.34	308.99	308.99	308.99	
237	23.44	308.98	308.98	308.98	
238	23.54	308.97	308.97	308.97	
239	23.64	308.96	308.96	308.96	
240	23.74	308.94	308.94	308.94	
241	23.84	308.93	308.93	308.93	
242	23.94	308.92	308.92	308.92	
243	24.04	308.91	308.91	308.91	
244	24.14	308.9	308.9	308.9	
245	24.24	308.89	308.89	308.89	
246	24.34	308.88	308.88	308.88	
247	24.44	308.86	308.86	308.86	
248	24.54	308.85	308.85	308.85	
249	24.64	308.84	308.84	308.84	
250	24.74	308.83	308.83	308.83	
251	24.84	308.82	308.82	308.82	
252	24.94	308.81	308.81	308.81	
253	25.04	308.8	308.8	308.8	
254	25.14	308.78	308.78	308.78	
255	25.24	308.77	308.77	308.77	
256	25.34	308.76	308.76	308.76	
257	25.44	308.75	308.75	308.75	
258	25.54	308.74	308.74	308.74	
259	25.64	308.72	308.72	308.72	
260	25.74	308.71	308.71	308.71	
261	25.84	308.7	308.7	308.7	
262	25.94	308.69	308.69	308.69	
263	26.04	308.68	308.68	308.68	
264	26.14	308.67	308.67	308.67	
265	26.24	308.65	308.65	308.65	
266	26.34	308.64	308.64	308.64	
267	26.44	308.63	308.63	308.63	
268	26.54	308.62	308.62	308.62	
269	26.64	308.61	308.61	308.61	
270	26.74	308.59	308.59	308.59	
271	26.84	308.58	308.58	308.58	
272	26.94	308.57	308.57	308.57	
273	27.04	308.56	308.56	308.56	
274	27.14	308.55	308.55	308.55	
275	27.24	308.53	308.53	308.53	
276	27.34	308.52	308.52	308.52	
277	27.44	308.51	308.51	308.51	
278	27.54	308.5	308.5	308.5	
279	27.64	308.49	308.49	308.49	
280	27.74	308.47	308.47	308.47	
281	27.84	308.46	308.46	308.46	
282	27.94	308.45	308.45	308.45	
283	28.04	308.44	308.44	308.44	
284	28.14	308.42	308.42	308.42	
285	28.24	308.41	308.41	308.41	
286	28.34	308.4	308.4	308.4	
287	28.44	308.39	308.39	308.39	
288	28.54	308.38	308.38	308.38	
289	28.64	308.36	308.36	308.36	
290	28.74	308.35	308.35	308.35	
291	28.84	308.34	308.34	308.34	
292	28.94	308.33	308.33	308.33	
293	29.04	308.31	308.31	308.31	
294	29.14	308.3	308.3	308.3	
295	29.24	308.29	308.29	308.29	
296	29.34	308.28	308.28	308.28	
297	29.44	308.26	308.26	308.26	
298	29.54	308.25	308.25	308.25	
299	29.64	308.24	308.24	308.24	
300	29.74	308.23	308.23	308.23	
301	29.84	308.22	308.22	308.22	
302	29.94	308.2	308.2	308.2	
303	30.04	308.19	308.19	308.19	
304	30.14	308.18	308.18	308.18	
305	30.24	308.17	308.17	308.17	
306	30.34	308.15	308.15	308.15	
307	30.44	308.14	308.14	308.14	
308	30.54	308.13	308.13	308.13	
309	30.64	308.12	308.12	308.12	
310	30.74	308.1	308.1	308.1	
311	30.84	308.09	308.09	308.09	
312	30.94	308.08	308.08	308.08	
313	31.04	308.07	308.07	308.07	
314	31.14	308.05	308.05	308.05	
315	31.24	308.04	308.04	308.04	
316	31.34	308.03	308.03	308.03	
317	31.44	308.02	308.02	308.02	
318	31.54	308.	308.	308.	
319	31.64	307.99	307.99	307.99	
320	31.74	307.98	307.98	307.98	
321	31.84	307.97	307.97	307.97	
322	31.94	307.95	307.95	307.95	
323	32.04	307.94	307.94	307.94	
324	32.14	307.93	307.93	307.93	
325	32.24	307.92	307.92	307.92	
326	32.34	307.9	307.9	307.9	
327	32.44	307.89	307.89	307.89	
328	32.54	307.88	307.88	307.88	
329	32.64	307.87	307.87	307.87	
330	32.74	307.85	307.85	307.85	
331	32.84	307.84	307.84	307.84	
332	32.94	307.83	307.83	307.83	
333	33.04	307.82	307.82	307.82	
334	33.14	307.8	307.8	307.8	
335	33.24	307.79	307.79	307.79	
336	33.34	307.78	307.78	307.78	
337	33.44	307.77	307.77	307.77	
338	33.54	307.75	307.75	307.75	
339	33.64	307.74	307.74	307.74	
340	33.74	307.73	307.73	307.73	
341	33.84	307.72	307.72	307.72	
342	33.94	307.7	307.7	307.7	
343	34.04	307.69	307.69	307.69	
344	34.14	307.68	307.68	307.68	
345	34.24	307.67	307.67	307.67	
346	34.34	307.65	307.65	307.65	
347	34.44	307.64	307.64	307.64	
348	34.54	307.63	307.63	307.63	
349	34.64	307.62	307.62	307.62	
350	34.74	307.6	307.6	307.6	
351	34.84	307.59	307.59	307.59	
352	34.94	307.58	307.58	307.58	
353	35.04	307.56	307.56	307.56	
354	35.14	307.55	307.55	307.55	
355	35.24	307.54	307.54	307.54	
356	35.34	307.53	307.53	307.53	
357	35.44	307.51	307.51	307.51	
358	35.54	307.5	307.5	307.5	
359	35.64	307.49	307.49	307.49	
360	35.74	307.48	307.48	307.48	
361	35.84	307.46	307.46	307.46	
362	35.94	307.45	307.45	307.45	
363	36.04	307.44	307.44	307.44	
