	Length [m]	Value [K]	
1	0.	285.15	
2	4.0625e-004	286.94	
3	8.125e-004	287.95	
4	1.2187e-003	288.71	
5	1.625e-003	289.44	
6	2.0313e-003	290.12	
7	2.4375e-003	290.77	
8	2.8437e-003	292.01	
9	3.25e-003	293.31	
10	3.6563e-003	294.56	
11	4.0625e-003	295.75	
12	4.4687e-003	296.89	
13	4.875e-003	297.98	
14	5.2812e-003	299.01	
15	5.6875e-003	299.99	
16	6.0937e-003	300.92	
17	6.5e-003	301.79	
18	6.9062e-003	302.61	
19	7.3125e-003	303.37	
20	7.7187e-003	304.08	
21	8.125e-003	304.74	
22	8.5312e-003	305.34	
23	8.9375e-003	305.89	
24	9.3437e-003	306.39	
25	9.75e-003	306.83	
26	1.0156e-002	307.22	
27	1.0562e-002	307.56	
28	1.0969e-002	307.84	
29	1.1375e-002	308.08	
30	1.1781e-002	308.31	
31	1.2187e-002	308.53	
32	1.2594e-002	308.73	
33	1.3e-002	308.91	
34	1.3406e-002	309.09	
35	1.3813e-002	309.25	
36	1.4219e-002	309.4	
37	1.4625e-002	309.54	
38	1.5031e-002	309.66	
39	1.5437e-002	309.77	
40	1.5844e-002	309.87	
41	1.625e-002	309.95	
42	1.6656e-002	310.02	
43	1.7062e-002	310.08	
44	1.7469e-002	310.12	
45	1.7875e-002	310.15	
46	1.8281e-002	310.17	
47	1.8687e-002	310.18	
48	1.9094e-002	310.17	
49	1.95e-002	310.15	
