	Length [m]	Value [K]	
1	0.	296.19	
2	4.0625e-004	299.28	
3	8.125e-004	300.91	
4	1.2187e-003	302.04	
5	1.625e-003	303.	
6	2.0313e-003	303.82	
7	2.4375e-003	304.48	
8	2.8437e-003	305.21	
9	3.25e-003	305.93	
10	3.6563e-003	306.6	
11	4.0625e-003	307.22	
12	4.4687e-003	307.79	
13	4.875e-003	308.3	
14	5.2812e-003	308.77	
15	5.6875e-003	309.18	
16	6.0937e-003	309.55	
17	6.5e-003	309.86	
18	6.9062e-003	310.13	
19	7.3125e-003	310.34	
20	7.7187e-003	310.5	
21	8.125e-003	310.61	
22	8.5312e-003	310.67	
23	8.9375e-003	310.68	
24	9.3437e-003	310.64	
25	9.75e-003	310.55	
26	1.0156e-002	310.41	
27	1.0562e-002	310.22	
28	1.0969e-002	309.98	
29	1.1375e-002	309.98	
30	1.1781e-002	310.01	
31	1.2187e-002	310.04	
32	1.2594e-002	310.06	
33	1.3e-002	310.08	
34	1.3406e-002	310.1	
35	1.3813e-002	310.12	
36	1.4219e-002	310.13	
37	1.4625e-002	310.14	
38	1.5031e-002	310.16	
39	1.5437e-002	310.17	
40	1.5844e-002	310.17	
41	1.625e-002	310.18	
42	1.6656e-002	310.18	
43	1.7062e-002	310.18	
44	1.7469e-002	310.18	
45	1.7875e-002	310.18	
46	1.8281e-002	310.18	
47	1.8687e-002	310.17	
48	1.9094e-002	310.16	
49	1.95e-002	310.15	
