	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
167	16.44	310.15	310.15	310.15	
168	16.54	310.15	310.15	310.15	
169	16.64	310.15	310.15	310.15	
170	16.74	310.15	310.15	310.15	
171	16.84	310.15	310.15	310.15	
172	16.94	310.15	310.15	310.15	
173	17.04	310.15	310.15	310.15	
174	17.14	310.15	310.15	310.15	
175	17.24	310.15	310.15	310.15	
176	17.34	310.15	310.15	310.15	
177	17.44	310.15	310.15	310.15	
178	17.54	310.15	310.15	310.15	
179	17.64	310.15	310.15	310.15	
180	17.74	310.15	310.15	310.15	
181	17.84	310.15	310.15	310.15	
182	17.94	310.15	310.15	310.15	
183	18.04	310.15	310.15	310.15	
184	18.14	310.15	310.15	310.15	
185	18.24	310.15	310.15	310.15	
186	18.34	310.15	310.15	310.15	
187	18.44	310.15	310.15	310.15	
188	18.54	310.15	310.15	310.15	
189	18.64	310.15	310.15	310.15	
190	18.74	310.15	310.15	310.15	
191	18.84	310.15	310.15	310.15	
192	18.94	310.15	310.15	310.15	
193	19.04	310.15	310.15	310.15	
194	19.14	310.15	310.15	310.15	
195	19.24	310.15	310.15	310.15	
196	19.34	310.15	310.15	310.15	
197	19.44	310.15	310.15	310.15	
198	19.54	310.15	310.15	310.15	
199	19.64	310.15	310.15	310.15	
200	19.74	310.15	310.15	310.15	
201	19.84	310.15	310.15	310.15	
202	19.94	310.15	310.15	310.15	
203	20.04	310.15	310.15	310.15	
204	20.14	310.15	310.15	310.15	
205	20.24	310.15	310.15	310.15	
206	20.34	310.15	310.15	310.15	
207	20.44	310.15	310.15	310.15	
208	20.54	310.15	310.15	310.15	
209	20.64	310.15	310.15	310.15	
210	20.74	310.15	310.15	310.15	
211	20.84	310.15	310.15	310.15	
212	20.94	310.15	310.15	310.15	
213	21.04	310.15	310.15	310.15	
214	21.14	310.15	310.15	310.15	
215	21.24	310.15	310.15	310.15	
216	21.34	310.15	310.15	310.15	
217	21.44	310.15	310.15	310.15	
218	21.54	310.15	310.15	310.15	
219	21.64	310.15	310.15	310.15	
220	21.74	310.15	310.15	310.15	
221	21.84	310.15	310.15	310.15	
222	21.94	310.15	310.15	310.15	
223	22.04	310.15	310.15	310.15	
224	22.14	310.15	310.15	310.15	
225	22.24	310.15	310.15	310.15	
226	22.34	310.15	310.15	310.15	
227	22.44	310.15	310.15	310.15	
