	Length [m]	Value [K]	
1	0.	291.6	
2	4.0625e-004	293.07	
3	8.125e-004	293.9	
4	1.2187e-003	294.52	
5	1.625e-003	295.1	
6	2.0313e-003	295.64	
7	2.4375e-003	296.15	
8	2.8437e-003	297.09	
9	3.25e-003	298.07	
10	3.6563e-003	299.01	
11	4.0625e-003	299.91	
12	4.4687e-003	300.76	
13	4.875e-003	301.58	
14	5.2812e-003	302.35	
15	5.6875e-003	303.08	
16	6.0937e-003	303.76	
17	6.5e-003	304.4	
18	6.9062e-003	305.	
19	7.3125e-003	305.56	
20	7.7187e-003	306.08	
21	8.125e-003	306.55	
22	8.5312e-003	306.98	
23	8.9375e-003	307.37	
24	9.3437e-003	307.71	
25	9.75e-003	308.02	
26	1.0156e-002	308.28	
27	1.0562e-002	308.49	
28	1.0969e-002	308.67	
29	1.1375e-002	308.83	
30	1.1781e-002	308.98	
31	1.2187e-002	309.13	
32	1.2594e-002	309.26	
33	1.3e-002	309.39	
34	1.3406e-002	309.5	
35	1.3813e-002	309.61	
36	1.4219e-002	309.71	
37	1.4625e-002	309.8	
38	1.5031e-002	309.88	
39	1.5437e-002	309.95	
40	1.5844e-002	310.01	
41	1.625e-002	310.06	
42	1.6656e-002	310.1	
43	1.7062e-002	310.14	
44	1.7469e-002	310.16	
45	1.7875e-002	310.18	
46	1.8281e-002	310.18	
47	1.8687e-002	310.18	
48	1.9094e-002	310.17	
49	1.95e-002	310.15	
