	Length [m]	Value [K]	
1	0.	286.9	
2	4.0625e-004	288.05	
3	8.125e-004	288.7	
4	1.2187e-003	289.2	
5	1.625e-003	289.68	
6	2.0313e-003	290.14	
7	2.4375e-003	290.59	
8	2.8437e-003	291.47	
9	3.25e-003	292.41	
10	3.6563e-003	293.32	
11	4.0625e-003	294.2	
12	4.4687e-003	295.06	
13	4.875e-003	295.88	
14	5.2812e-003	296.68	
15	5.6875e-003	297.46	
16	6.0937e-003	298.2	
17	6.5e-003	298.92	
18	6.9062e-003	299.61	
19	7.3125e-003	300.27	
20	7.7187e-003	300.91	
21	8.125e-003	301.52	
22	8.5312e-003	302.1	
23	8.9375e-003	302.65	
24	9.3437e-003	303.18	
25	9.75e-003	303.67	
26	1.0156e-002	304.15	
27	1.0562e-002	304.59	
28	1.0969e-002	305.	
29	1.1375e-002	305.38	
30	1.1781e-002	305.73	
31	1.2187e-002	306.08	
32	1.2594e-002	306.41	
33	1.3e-002	306.73	
34	1.3406e-002	307.03	
35	1.3813e-002	307.33	
36	1.4219e-002	307.61	
37	1.4625e-002	307.88	
38	1.5031e-002	308.14	
39	1.5437e-002	308.38	
40	1.5844e-002	308.62	
41	1.625e-002	308.84	
42	1.6656e-002	309.04	
43	1.7062e-002	309.24	
44	1.7469e-002	309.42	
45	1.7875e-002	309.59	
46	1.8281e-002	309.75	
47	1.8687e-002	309.9	
48	1.9094e-002	310.03	
49	1.95e-002	310.15	
